"player_id","team","player","position","pos_purity","minutes","passes_p90","passes_completed_p90","long_passes_p90","key_passes_p90","assists_p90","carries_p90","shots_p90","goals_p90","xg_p90","dribbles_p90","dribbles_completed_p90","pressures_p90","ball_recoveries_p90","interceptions_p90","clearances_p90","blocks_p90","duels_p90","tackles_p90","fouls_p90","dispossessed_p90","miscontrols_p90","ball_receipts_p90","pass_completion_pct","dribble_success_pct","avg_pass_length","mean_x","mean_y","sd_x","sd_y","f3_share","d3_share","position_group","purity6"
31711,"Bastia","Abdoulaye Sadio Diallo","Center Attacking Midfield",0.64,737.5,46.373,35.39,10.007,2.197,0.244,40.881,1.953,0.244,0.052,3.661,1.831,20.258,7.322,0.732,1.22,1.831,5.614,1.464,2.319,2.075,2.807,56.746,0.763,0.5,20.39,68.43,38.46,21.21,22.69,0.287,0.096,"AM_W",0.646
31721,"Frosinone","Matteo Ciofani","Right Back",0.896,1343.1,36.118,25.263,8.51,0.067,0.067,18.763,0.268,0,0.008,1.005,0.469,10.588,3.015,0.938,4.222,2.412,3.149,1.675,1.273,0.536,0.201,20.639,0.699,0.467,21.65,52.52,67.61,27.36,11.33,0.183,0.341,"FB",0.904
3174,"Nantes","Lévy Koffi Djidji","Right Center Back",0.91,1866.1,36.413,30.77,11.044,0,0,25.175,0.289,0,0.017,0.338,0.241,12.395,4.63,1.495,5.16,1.929,4.341,2.363,0.965,0.241,0.241,25.224,0.845,0.714,25.21,37.05,52.54,18.02,16.14,0.02,0.606,"CB",1
3179,"Saint-Étienne","Nolan Roux","Center Forward",0.52,2033.2,22.708,14.74,3.276,0.841,0.089,21.026,2.612,0.398,0.397,1.018,0.62,13.545,3.187,0.354,1.018,1.416,3.674,1.062,1.859,2.125,2.257,48.514,0.649,0.609,17.13,76.64,44.51,25,23.82,0.471,0.086,"FW",0.595
3181,"Marseille","Lassana Diarra","Left Defensive Midfield",0.346,549,47.544,40.986,9.017,0.492,0,45.577,0.164,0,0.006,2.459,2.459,27.051,9.345,1.312,2.295,0.82,5.738,3.607,3.279,1.967,1.312,39.511,0.862,1,21.49,50.35,38.23,18.04,18.2,0.044,0.276,"DM_CM",1
3181,"Olympique de Marseille","Lassana Diarra","Left Defensive Midfield",0.638,1606.1,62.537,53.627,10.535,0.841,0.056,55.701,0.504,0.056,0.016,3.026,2.073,20.734,10.255,0.897,1.065,1.905,5.38,3.754,1.961,1.345,0.897,52.843,0.858,0.685,20.83,55.49,35.84,19.02,18.19,0.112,0.215,"DM_CM",1
3184,"Bordeaux","Enzo Crivelli","Center Forward",0.83,1646.7,20.332,14.702,1.202,0.656,0.219,17.544,1.476,0.164,0.19,1.257,0.656,18.419,2.296,0.273,0.82,1.202,8.963,0.711,2.35,1.421,3.553,52.688,0.723,0.522,13.9,77.3,39.53,20.74,18.92,0.397,0.033,"FW",0.967
3185,"Angers","Thomas Mangani","Left Center Midfield",0.92,2629.7,59.482,44.047,14.032,1.951,0.137,42.027,1.129,0.171,0.195,1.335,0.684,28.851,5.544,0.684,1.266,2.19,4.073,2.156,1.164,1.061,1.369,52.089,0.741,0.513,21.24,59.46,29.8,22.38,20.49,0.183,0.184,"DM_CM",1
3189,"Toulouse","Étienne Didot","Center Defensive Midfield",0.385,1660.4,65.639,45.53,13.117,1.138,0.108,42.874,0.705,0,0.02,1.247,0.434,22.602,6.396,1.518,1.789,1.301,4.282,2.222,2.005,1.138,1.247,52.63,0.694,0.348,21,60.39,36.98,22.67,23.63,0.194,0.184,"DM_CM",0.95
3191,"Montpellier","Ramy Bensebaini","Left Back",0.663,1401.5,50.027,37.568,10.018,0,0,34.293,0.706,0.128,0.029,1.349,0.642,15.541,6.037,2.055,4.046,2.312,4.881,3.211,2.505,0.578,0.963,34.036,0.751,0.476,20.48,54.73,16.39,25.58,15.04,0.158,0.277,"FB",0.663
